podcast_title,podcast_id,nr_of_reviews,average_rating,main_category,sentiment_bool,compound_score_mean,compound_score_min,compound_score_max,compound_score_median,unique_authors,reviews_per_author
The Mindset Mentor,b5c350c463c787b2b02204029bfc0885,2491,4.9088719389803295,health-fitness,0.7968687274187074,0.6434845443596949,-0.9756,0.9972,0.807,2357,1.0568519304200255
Highest Self Podcast,f529487b091b7659049b17420ae20267,2274,4.924802110817942,health-fitness,0.9511873350923483,0.8434901055408971,-0.9686,0.9994,0.92715,2214,1.02710027100271
Sleep With Me,b69677f9f694bd3566eaf9fff0343784,1643,4.421180766889836,health-fitness,0.6195982958003652,0.5097247717589775,-0.9921,0.9978,0.7351,1511,1.0873593646591662
Healthier Together,c4b4a343d1131676bf592d266629d6dc,1412,4.946175637393767,health-fitness,0.9603399433427762,0.8474036827195467,-0.7463,0.9971,0.92595,1354,1.0428360413589366
The Model Health Show,c9add5e9e81a4b3ca963adab5b87083f,1303,4.762087490406754,health-fitness,0.88871834228703,0.7936495011511897,-0.9702,0.9987,0.9357,1253,1.0399042298483638
Biceps After Babies Radio,bd1eeaa544589b34fe3056a7a60d9360,1282,4.981279251170047,health-fitness,0.9461778471138845,0.7960125585023401,-0.9546,0.995,0.88285,1257,1.0198886237072395
Ali on the Run Show,d2042758dcacc179d98a76d7673065ac,1273,4.955223880597015,health-fitness,0.9701492537313433,0.8775253731343281,-0.8241,0.9964,0.9408,1203,1.058187863674148
Food Heaven Podcast,f42b4160ff9b8933d74c411ee40596ea,915,4.956284153005464,health-fitness,0.9551912568306011,0.8366167213114755,-0.941,0.9975,0.9215,891,1.026936026936027
The Human Upgrade with Dave Asprey—formerly Bulletproof Radio,bffe9d51afd8a6c6a89c7cbb06da788f,803,4.488169364881694,health-fitness,0.8518057285180572,0.7073625155666251,-0.9847,0.9993,0.8655,767,1.046936114732725
Political Gabfest,cdfe385f2494f58cedfccd42f49a7db9,779,3.833119383825417,government,0.5327342747111682,0.41689088575096284,-0.9973,0.9964,0.6369,734,1.061307901907357
Ruthless,dfe8c6d0dfe36f106f3df419e4abdebf,686,4.666180758017493,government,0.7419825072886297,0.6269371720116619,-0.9524,0.9978,0.8591,658,1.0425531914893618
More Perfect,a21fa119edfd50d4019f86ff9f1a70bc,602,3.971760797342193,government,0.7059800664451827,0.5509689368770765,-0.9726,0.9961,0.75645,597,1.0083752093802345
Democracy Now! Audio,ebd7d4685c1640d06f4244f892ce2b50,574,4.439024390243903,government,0.5592334494773519,0.39785609756097556,-0.9939,0.9887,0.5696,561,1.0231729055258467
Can He Do That?,f1a7cabd6127108563a0e38ae044b88a,550,3.556363636363636,government,0.39636363636363636,0.2915361818181818,-0.9961,0.9956,0.4404,540,1.0185185185185186
You and Me Both with Hillary Clinton,f166920aaa23f51ea489448a9f640a80,485,4.05360824742268,government,0.6206185567010309,0.5352847422680412,-0.9724,0.9978,0.8225,483,1.0041407867494825
Words Matter,f82d142153659c0dba720c70c6d849eb,354,4.2740112994350286,government,0.5903954802259888,0.4875694915254238,-0.9448,0.9962,0.73185,343,1.032069970845481
John Solomon Reports,fd12d32595b56e3dd852a10a2b0f6828,351,4.464387464387465,government,0.5242165242165242,0.3838931623931624,-0.939,0.9897,0.5562,336,1.0446428571428572
FBI Retired Case File Review,ab471ba709d0cb6b5c97bef34d64de4b,322,4.683229813664596,government,0.7857142857142857,0.6586096273291925,-0.9477,0.9967,0.8478,303,1.0627062706270627
The Asset,b98e77ee6e27c0ecec581a6ba1fcdece,159,4.415094339622642,government,0.4339622641509434,0.32068364779874214,-0.9256,0.9826,0.52,159,1.0
Scared To Death,b9a8d90ae43232769ecc68d7defb0c38,2893,4.649844452125821,fiction,0.6730038022813688,0.5503727618389215,-0.9821,0.9955,0.796,2733,1.0585437248444933
Nothing much happens; bedtime stories to help you sleep,c54d17cdabe329c9af0e6a2e288fba41,986,4.809330628803245,fiction,0.8133874239350912,0.6801547667342799,-0.8976,0.9978,0.8546,914,1.0787746170678336
Get Sleepy: Sleep meditation and stories,afa1dbed976ad96d42a11b5eeb1e17db,587,4.499148211243612,fiction,0.7325383304940375,0.6125475298126065,-0.908,0.9964,0.804,574,1.0226480836236933
Blood Ties,b2d30d9df75edabad573a0b6e1a48c6b,520,3.9269230769230767,fiction,0.551923076923077,0.4132188461538462,-0.9907,0.9947,0.613,516,1.0077519379844961
Hank the Cowdog,e423020142df80c82dff46c7fd582044,497,4.806841046277666,fiction,0.8370221327967807,0.6815953722334004,-0.9485,0.9904,0.8172,494,1.0060728744939271
